player_group,player_total,pair_rank,dealer_up,action
hard,8,NA,2,H
hard,8,NA,3,H
hard,8,NA,4,H
hard,8,NA,5,H
hard,8,NA,6,H
hard,8,NA,7,H
hard,8,NA,8,H
hard,8,NA,9,H
hard,8,NA,10,H
hard,8,NA,11,H
hard,9,NA,2,H
hard,9,NA,3,D
hard,9,NA,4,D
hard,9,NA,5,D
hard,9,NA,6,D
hard,9,NA,7,H
hard,9,NA,8,H
hard,9,NA,9,H
hard,9,NA,10,H
hard,9,NA,11,H
hard,10,NA,2,D
hard,10,NA,3,D
hard,10,NA,4,D
hard,10,NA,5,D
hard,10,NA,6,D
hard,10,NA,7,D
hard,10,NA,8,D
hard,10,NA,9,D
hard,10,NA,10,H
hard,10,NA,11,H
hard,11,NA,2,D
hard,11,NA,3,D
hard,11,NA,4,D
hard,11,NA,5,D
hard,11,NA,6,D
hard,11,NA,7,D
hard,11,NA,8,D
hard,11,NA,9,D
hard,11,NA,10,D
hard,11,NA,11,H
hard,12,NA,2,H
hard,12,NA,3,H
hard,12,NA,4,S
hard,12,NA,5,S
hard,12,NA,6,S
hard,12,NA,7,H
hard,12,NA,8,H
hard,12,NA,9,H
hard,12,NA,10,H
hard,12,NA,11,H
hard,13,NA,2,S
hard,13,NA,3,S
hard,13,NA,4,S
hard,13,NA,5,S
hard,13,NA,6,S
hard,13,NA,7,H
hard,13,NA,8,H
hard,13,NA,9,H
hard,13,NA,10,H
hard,13,NA,11,H
hard,14,NA,2,S
hard,14,NA,3,S
hard,14,NA,4,S
hard,14,NA,5,S
hard,14,NA,6,S
hard,14,NA,7,H
hard,14,NA,8,H
hard,14,NA,9,H
hard,14,NA,10,H
hard,14,NA,11,H
hard,15,NA,2,S
hard,15,NA,3,S
hard,15,NA,4,S
hard,15,NA,5,S
hard,15,NA,6,S
hard,15,NA,7,H
hard,15,NA,8,H
hard,15,NA,9,H
hard,15,NA,10,H
hard,15,NA,11,H
hard,16,NA,2,S
hard,16,NA,3,S
hard,16,NA,4,S
hard,16,NA,5,S
hard,16,NA,6,S
hard,16,NA,7,H
hard,16,NA,8,H
hard,16,NA,9,H
hard,16,NA,10,H
hard,16,NA,11,H
hard,17,NA,2,S
hard,17,NA,3,S
hard,17,NA,4,S
hard,17,NA,5,S
hard,17,NA,6,S
hard,17,NA,7,S
hard,17,NA,8,S
hard,17,NA,9,S
hard,17,NA,10,S
hard,17,NA,11,S
hard,18,NA,2,S
hard,18,NA,3,S
hard,18,NA,4,S
hard,18,NA,5,S
hard,18,NA,6,S
hard,18,NA,7,S
hard,18,NA,8,S
hard,18,NA,9,S
hard,18,NA,10,S
hard,18,NA,11,S
hard,19,NA,2,S
hard,19,NA,3,S
hard,19,NA,4,S
hard,19,NA,5,S
hard,19,NA,6,S
hard,19,NA,7,S
hard,19,NA,8,S
hard,19,NA,9,S
hard,19,NA,10,S
hard,19,NA,11,S
hard,20,NA,2,S
hard,20,NA,3,S
hard,20,NA,4,S
hard,20,NA,5,S
hard,20,NA,6,S
hard,20,NA,7,S
hard,20,NA,8,S
hard,20,NA,9,S
hard,20,NA,10,S
hard,20,NA,11,S
